Az (deg)        EL (deg)        ΔAZ (Gaussian) (arcsec) σAz (arcsec)    FWHM-Az (arcsec)               Az-2 (deg)      El-2 (deg)      ΔEL (Gaussian) (arcsec) σEL (arcsec)    FWHM-EL (arcsec)
303.00,32.00,1276.47,50.00,1000.00,303.00,32.00,148.97,50.00,1000.00
126.00,59.00,755.69,50.00,1000.00,126.00,59.00,101.03,50.00,1000.00
207.00,50.00,-662.30,50.00,1000.00,207.00,50.00,701.90,50.00,1000.00
168.00,24.00,-228.72,50.00,1000.00,168.00,24.00,-1160.62,50.00,1000.00
340.00,82.00,107.00,50.00,1000.00,340.00,82.00,79.43,50.00,1000.00
27.00,63.00,121.10,50.00,1000.00,27.00,63.00,1260.37,50.00,1000.00
333.00,69.00,310.54,50.00,1000.00,333.00,69.00,635.42,50.00,1000.00
235.00,43.00,1337.59,50.00,1000.00,235.00,43.00,-42.07,50.00,1000.00
188.00,75.00,281.97,50.00,1000.00,188.00,75.00,526.58,50.00,1000.00
283.00,12.00,1047.89,50.00,1000.00,283.00,12.00,554.20,50.00,1000.00
52.00,43.00,338.73,50.00,1000.00,52.00,43.00,-37.12,50.00,1000.00
5.00,75.00,354.22,50.00,1000.00,5.00,75.00,78.01,50.00,1000.00
348.00,52.00,439.73,50.00,1000.00,348.00,52.00,7.85,50.00,1000.00
191.00,37.00,390.99,50.00,1000.00,191.00,37.00,-121.13,50.00,1000.00
260.00,30.00,473.74,50.00,1000.00,260.00,30.00,17.66,50.00,1000.00
239.00,24.00,550.26,50.00,1000.00,239.00,24.00,-17.80,50.00,1000.00
185.00,15.00,198.06,50.00,1000.00,185.00,15.00,-121.50,50.00,1000.00
36.00,65.00,331.76,50.00,1000.00,36.00,65.00,-63.05,50.00,1000.00
322.00,63.00,452.62,50.00,1000.00,322.00,63.00,-37.89,50.00,1000.00
134.00,17.00,447.42,50.00,1000.00,134.00,17.00,160.08,50.00,1000.00
187.00,56.00,306.37,50.00,1000.00,187.00,56.00,-38.61,50.00,1000.00
311.00,11.00,398.52,50.00,1000.00,311.00,11.00,-7.46,50.00,1000.00
188.00,75.00,272.14,50.00,1000.00,188.00,75.00,159.37,50.00,1000.00
118.00,49.00,261.40,50.00,1000.00,118.00,49.00,-88.06,50.00,1000.00
48.00,38.00,449.08,50.00,1000.00,48.00,38.00,44.09,50.00,1000.00
53.00,61.00,462.93,50.00,1000.00,53.00,61.00,-42.71,50.00,1000.00
73.00,73.00,488.95,50.00,1000.00,73.00,73.00,-54.45,50.00,1000.00
186.00,16.00,468.83,50.00,1000.00,186.00,16.00,191.94,50.00,1000.00
146.00,54.00,311.73,50.00,1000.00,146.00,54.00,209.45,50.00,1000.00
217.00,36.00,304.28,50.00,1000.00,217.00,36.00,115.36,50.00,1000.00
307.00,62.00,407.48,50.00,1000.00,307.00,62.00,63.31,50.00,1000.00
51.00,19.00,503.21,50.00,1000.00,51.00,19.00,100.08,50.00,1000.00
285.00,19.00,532.52,50.00,1000.00,285.00,19.00,-77.50,50.00,1000.00
351.00,12.00,389.03,50.00,1000.00,351.00,12.00,228.48,50.00,1000.00
68.00,21.00,531.35,50.00,1000.00,68.00,21.00,6.92,50.00,1000.00
170.00,33.00,395.49,50.00,1000.00,170.00,33.00,169.99,50.00,1000.00
293.00,23.00,464.16,50.00,1000.00,293.00,23.00,186.42,50.00,1000.00
23.00,28.00,604.33,50.00,1000.00,23.00,28.00,-182.24,50.00,1000.00
156.00,70.00,267.40,50.00,1000.00,156.00,70.00,6.25,50.00,1000.00
289.00,26.00,295.18,50.00,1000.00,289.00,26.00,-48.14,50.00,1000.00
335.00,47.00,399.71,50.00,1000.00,335.00,47.00,123.07,50.00,1000.00
